drawdown_fraction,duration_days,required_starting_bcr,required_starting_bcr_terminal,synthesis_status
0.625,1260,7.5,,ok
0.625,1320,7.8,,ok
0.625,1380,8.1,,ok
0.625,1440,8.4,,ok
0.625,1500,8.7,,ok
0.625,1560,9,,ok
0.625,1620,9.3,,ok
0.625,1680,9.6,,ok
0.625,1740,9.9,,ok
0.625,1800,10.2,,ok
0.65,0,,,degenerate
0.65,60,3.1,,ok
0.65,120,3.2,,ok
0.65,180,3.4,,ok
0.65,240,3.5,,ok
0.65,300,3.7,,ok
0.65,360,3.9,,ok
0.65,420,4,,ok
0.65,480,4.2,,ok
0.65,540,4.3,,ok
0.65,600,4.5,,ok
0.65,660,4.8,,ok
0.65,720,5.1,,ok
0.65,780,5.4,,ok
0.65,840,5.7,,ok
0.65,900,6,,ok
0.65,960,6.3,,ok
0.65,1020,6.6,,ok
0.65,1080,6.9,,ok
0.65,1140,7.2,,ok
0.65,1200,7.5,,ok
0.65,1260,7.8,,ok
0.65,1320,8.1,,ok
0.65,1380,8.4,,ok
0.65,1440,8.7,,ok
0.65,1500,9,,ok
0.65,1560,9.3,,ok
0.65,1620,9.6,,ok
0.65,1680,10,,ok
0.65,1740,10.3,,ok
0.65,1800,10.6,,ok
0.675,0,,,degenerate
0.675,60,3.3,,ok
0.675,120,3.5,,ok
0.675,180,3.6,,ok
0.675,240,3.8,,ok
0.675,300,3.9,,ok
0.675,360,4.1,,ok
0.675,420,4.3,,ok
0.675,480,4.4,,ok
0.675,540,4.6,,ok
0.675,600,4.8,,ok
0.675,660,5,,ok
0.675,720,5.2,,ok
0.675,780,5.6,,ok
0.675,840,5.9,,ok
0.675,900,6.2,,ok
0.675,960,6.5,,ok
0.675,1020,6.8,,ok
0.675,1080,7.1,,ok
0.675,1140,7.4,,ok
0.675,1200,7.8,,ok
0.675,1260,8.1,,ok
0.675,1320,8.4,,ok
0.675,1380,8.7,,ok
0.675,1440,9,,ok
0.675,1500,9.4,,ok
0.675,1560,9.7,,ok
0.675,1620,10,,ok
0.675,1680,10.3,,ok
0.675,1740,10.6,,ok
0.675,1800,11,,ok
0.7,0,,,degenerate
0.7,60,3.5,,ok
0.7,120,3.7,,ok
0.7,180,3.9,,ok
0.7,240,4.1,,ok
0.7,300,4.2,,ok
0.7,360,4.4,,ok
0.7,420,4.6,,ok
0.7,480,4.8,,ok
0.7,540,4.9,,ok
0.7,600,5.1,,ok
0.7,660,5.3,,ok
0.7,720,5.5,,ok
0.7,780,5.8,,ok
0.7,840,6.1,,ok
0.7,900,6.4,,ok
0.7,960,6.7,,ok
0.7,1020,7,,ok
0.7,1080,7.4,,ok
0.7,1140,7.7,,ok
0.7,1200,8,,ok
0.7,1260,8.4,,ok
0.7,1320,8.7,,ok
0.7,1380,9,,ok
0.7,1440,9.4,,ok
0.7,1500,9.7,,ok
0.7,1560,10.1,,ok
0.7,1620,10.4,,ok
0.7,1680,10.7,,ok
0.7,1740,11,,ok
0.7,1800,11.4,,ok
0.725,0,,,degenerate
0.725,60,3.9,,ok
0.725,120,4,,ok
0.725,180,4.2,,ok
0.725,240,4.4,,ok
0.725,300,4.6,,ok
0.725,360,4.8,,ok
0.725,420,4.9,,ok
0.725,480,5.1,,ok
0.725,540,5.3,,ok
0.725,600,5.5,,ok
0.725,660,5.7,,ok
0.725,720,5.9,,ok
0.725,780,6,,ok
0.725,840,6.3,,ok
0.725,900,6.7,,ok
0.725,960,7,,ok
0.725,1020,7.3,,ok
0.725,1080,7.7,,ok
0.725,1140,8,,ok
0.725,1200,8.4,,ok
0.725,1260,8.7,,ok
0.725,1320,9.1,,ok
0.725,1380,9.4,,ok
0.725,1440,9.8,,ok
0.725,1500,10.1,,ok
0.725,1560,10.5,,ok
0.725,1620,10.8,,ok
0.725,1680,11.2,,ok
0.725,1740,11.5,,ok
0.725,1800,11.9,,ok
0.75,0,,,degenerate
0.75,60,4.2,,ok
0.75,120,4.4,,ok
0.75,180,4.6,,ok
0.75,240,4.8,,ok
0.75,300,5,,ok
0.75,360,5.2,,ok
0.75,420,5.4,,ok
0.75,480,5.6,,ok
0.75,540,5.8,,ok
0.75,600,5.9,,ok
0.75,660,6.1,,ok
0.75,720,6.3,,ok
0.75,780,6.5,,ok
0.75,840,6.7,,ok
0.75,900,6.9,,ok
0.75,960,7.3,,ok
0.75,1020,7.6,,ok
0.75,1080,8,,ok
0.75,1140,8.4,,ok
0.75,1200,8.7,,ok
0.75,1260,9.1,,ok
0.75,1320,9.5,,ok
0.75,1380,9.8,,ok
0.75,1440,10.2,,ok
0.75,1500,10.6,,ok
0.75,1560,10.9,,ok
0.75,1620,11.3,,ok
0.75,1680,11.7,,ok
0.75,1740,12,,ok
0.75,1800,12.4,,ok
0.775,0,,,degenerate
0.775,60,4.7,,ok
0.775,120,4.9,,ok
0.775,180,5.1,,ok
0.775,240,5.3,,ok
0.775,300,5.5,,ok
0.775,360,5.7,,ok
0.775,420,5.9,,ok
0.775,480,6.1,,ok
0.775,540,6.3,,ok
0.775,600,6.5,,ok
0.775,660,6.7,,ok
0.775,720,6.9,,ok
0.775,780,7.1,,ok
0.775,840,7.3,,ok
0.775,900,7.5,,ok
0.775,960,7.7,,ok
0.775,1020,8,,ok
0.775,1080,8.4,,ok
0.775,1140,8.8,,ok
0.775,1200,9.1,,ok
0.775,1260,9.5,,ok
0.775,1320,9.9,,ok
0.775,1380,10.3,,ok
0.775,1440,10.7,,ok
0.775,1500,11.1,,ok
0.775,1560,11.4,,ok
0.775,1620,11.8,,ok
0.775,1680,12.2,,ok
0.775,1740,12.6,,ok
0.775,1800,13,,ok
0.8,0,,,degenerate
0.8,60,5.2,,ok
0.8,120,5.5,,ok
0.8,180,5.7,,ok
0.8,240,5.9,,ok
0.8,300,6.1,,ok
0.8,360,6.3,,ok
0.8,420,6.5,,ok
0.8,480,6.7,,ok
0.8,540,6.9,,ok
0.8,600,7.2,,ok
0.8,660,7.4,,ok
0.8,720,7.6,,ok
0.8,780,7.8,,ok
0.8,840,8,,ok
0.8,900,8.2,,ok
0.8,960,8.4,,ok
0.8,1020,8.7,,ok
0.8,1080,8.9,,ok
0.8,1140,9.2,,ok
0.8,1200,9.6,,ok
0.8,1260,10,,ok
0.8,1320,10.4,,ok
0.8,1380,10.8,,ok
0.8,1440,11.2,,ok
0.8,1500,11.6,,ok
0.8,1560,12,,ok
0.8,1620,12.5,,ok
0.8,1680,12.9,,ok
0.8,1740,13.3,,ok
0.8,1800,13.7,,ok
0.825,0,,,degenerate
0.825,60,6,,ok
0.825,120,6.2,,ok
0.825,180,6.4,,ok
0.825,240,6.6,,ok
0.825,300,6.9,,ok
0.825,360,7.1,,ok
0.825,420,7.3,,ok
0.825,480,7.6,,ok
0.825,540,7.8,,ok
0.825,600,8,,ok
0.825,660,8.2,,ok
0.825,720,8.5,,ok
0.825,780,8.7,,ok
0.825,840,8.9,,ok
0.825,900,9.1,,ok
0.825,960,9.4,,ok
0.825,1020,9.6,,ok
0.825,1080,9.8,,ok
0.825,1140,10.1,,ok
0.825,1200,10.3,,ok
0.825,1260,10.6,,ok
0.825,1320,11,,ok
0.825,1380,11.4,,ok
0.825,1440,11.9,,ok
0.825,1500,12.3,,ok
0.825,1560,12.7,,ok
0.825,1620,13.2,,ok
0.825,1680,13.6,,ok
0.825,1740,14,,ok
0.825,1800,14.5,,ok
0.85,0,,,degenerate
0.85,60,6.9,,ok
0.85,120,7.2,,ok
0.85,180,7.4,,ok
0.85,240,7.7,,ok
0.85,300,7.9,,ok
0.85,360,8.1,,ok
0.85,420,8.4,,ok
0.85,480,8.6,,ok
0.85,540,8.9,,ok
0.85,600,9.1,,ok
0.85,660,9.4,,ok
0.85,720,9.6,,ok
0.85,780,9.9,,ok
0.85,840,10.1,,ok
0.85,900,10.3,,ok
0.85,960,10.6,,ok
0.85,1020,10.8,,ok
0.85,1080,11.1,,ok
0.85,1140,11.3,,ok
0.85,1200,11.6,,ok
0.85,1260,11.8,,ok
0.85,1320,12.1,,ok
0.85,1380,12.3,,ok
0.85,1440,12.6,,ok
0.85,1500,13.1,,ok
0.85,1560,13.6,,ok
0.85,1620,14,,ok
0.85,1680,14.5,,ok
0.85,1740,15,,ok
0.85,1800,15.4,,ok
0.875,0,,,degenerate
0.875,60,8.3,,ok
0.875,120,8.5,,ok
0.875,180,8.8,,ok
0.875,240,9.1,,ok
0.875,300,9.3,,ok
0.875,360,9.6,,ok
0.875,420,9.9,,ok
0.875,480,10.1,,ok
0.875,540,10.4,,ok
0.875,600,10.7,,ok
0.875,660,10.9,,ok
0.875,720,11.2,,ok
0.875,780,11.5,,ok
0.875,840,11.7,,ok
0.875,900,12,,ok
0.875,960,12.2,,ok
0.875,1020,12.5,,ok
0.875,1080,12.8,,ok
0.875,1140,13,,ok
0.875,1200,13.3,,ok
0.875,1260,13.6,,ok
0.875,1320,13.8,,ok
0.875,1380,14.1,,ok
0.875,1440,14.4,,ok
0.875,1500,14.6,,ok
0.875,1560,14.9,,ok
0.875,1620,15.2,,ok
0.875,1680,15.6,,ok
0.875,1740,16.1,,ok
0.875,1800,16.6,,ok
0.9,0,,,degenerate
0.9,60,10.3,,ok
0.9,120,10.6,,ok
0.9,180,10.8,,ok
0.9,240,11.1,,ok
0.9,300,11.4,,ok
0.9,360,11.7,,ok
0.9,420,12,,ok
0.9,480,12.3,,ok
0.9,540,12.6,,ok
0.9,600,12.9,,ok
0.9,660,13.2,,ok
0.9,720,13.5,,ok
0.9,780,13.8,,ok
0.9,840,14.1,,ok
0.9,900,14.4,,ok
0.9,960,14.7,,ok
0.9,1020,14.9,,ok
0.9,1080,15.2,,ok
0.9,1140,15.5,,ok
0.9,1200,15.8,,ok
0.9,1260,16.1,,ok
0.9,1320,16.4,,ok
0.9,1380,16.7,,ok
