regime,scenario_id,starting_bcr,terminal_state,peak_date,peak_price_usd,trough_date,trough_price_usd,max_drawdown_from_peak,days_to_trough,min_bcr,min_bcr_date,days_to_bcr_min,primary_failure_date,days_to_primary_failure,terminal_liquidity_date,days_to_terminal_liquidity,primary_to_terminal_gap_days,recovery_date,days_to_recovery,terminal_date,terminal_bcr,terminal_btc_reserve_index,terminal_btc_held_index,cumulative_btc_sold_fraction,cumulative_btc_sold_usd,cumulative_payments_usd,cumulative_payments_over_annual,annual_obligation_usd,monthly_obligation_usd,btc_at_peak,required_starting_bcr_lo,required_starting_bcr_hi,required_starting_bcr_terminal_lo,required_starting_bcr_terminal_hi,scenarios_total,days_below_bcr_1,days_below_bcr_2,days_below_bcr_5,time_weighted_avg_bcr
mtgox_2014,mtgox_2014_bcr91.0,91,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,13.379605434129397,2015-01-14,411,,,,,,2017-03-03,1190,2017-03-03,92.9280413128422,1.0211872671740903,0.8993674670637658,0.1006325329362342,36630036.63003665,36630036.63003665,3.3333333333333353,10989010.98901099,915750.9157509158,883392.2261484099,10.9,11,9.5,9.6,245,0,0,0,37.43591570842194
mtgox_2014,mtgox_2014_bcr92.0,92,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,13.531027695613494,2015-01-14,411,,,,,,2017-03-03,1190,2017-03-03,94.06349184287751,1.0224292591617121,0.9004612989435072,0.09953870105649276,36231884.057971075,36231884.057971075,3.333333333333339,10869565.217391305,905797.1014492754,883392.2261484099,10.9,11,9.5,9.6,245,0,0,0,37.87130736047668
mtgox_2014,mtgox_2014_bcr93.0,93,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,13.682449957097594,2015-01-14,411,,,,,,2017-03-02,1189,2017-03-02,93.10362204293564,1.0011142155154371,0.9015316075570187,0.09846839244298133,35842293.90680987,35842293.90680987,3.3333333333333175,10752688.17204301,896057.3476702509,883392.2261484099,10.9,11,9.5,9.6,245,0,0,0,38.25889040466556
mtgox_2014,mtgox_2014_bcr94.0,94,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,13.833872218581696,2015-01-14,411,,,,,,2017-03-02,1189,2017-03-02,94.21408140689323,1.00227746177546,0.9025791436468374,0.09742085635316255,35460992.90780139,35460992.90780139,3.3333333333333304,10638297.872340426,886524.8226950355,883392.2261484099,10.9,11,9.5,9.6,245,0,0,0,38.693693771948716
mtgox_2014,mtgox_2014_bcr95.0,95,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,13.985294480065793,2015-01-14,411,,,,,,2017-03-02,1189,2017-03-02,95.32454077085079,1.0034162186405347,0.9036046263452915,0.09639537365470852,35087719.29824578,35087719.29824578,3.333333333333349,10526315.789473685,877192.9824561403,883392.2261484099,10.9,11,9.5,9.6,245,0,0,0,39.1284971392321
mtgox_2014,mtgox_2014_bcr96.0,96,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,14.13671674154989,2015-01-14,411,,,,,,2017-03-02,1189,2017-03-02,96.43500013480839,1.0045312514042541,0.9046087448208615,0.09539125517913849,34722222.22222219,34722222.22222219,3.33333333333333,10416666.666666666,868055.5555555555,883392.2261484099,10.9,11,9.5,9.6,245,0,0,0,39.56330050651545
mtgox_2014,mtgox_2014_bcr97.0,97,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,14.28813900303399,2015-01-14,411,,,,,,2017-03-02,1189,2017-03-02,97.54545949876604,1.0056232938017118,0.9055921598227086,0.09440784017729142,34364261.1683847,34364261.1683847,3.3333333333333157,10309278.350515464,859106.5292096221,883392.2261484099,10.9,11,9.5,9.6,245,0,0,0,39.99810387379873
mtgox_2014,mtgox_2014_bcr98.0,98,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,14.439561264518092,2015-01-14,411,,,,,,2017-03-02,1189,2017-03-02,98.65591886272361,1.0066930496196287,0.90655550513064,0.09344449486936002,34013605.44217677,34013605.44217677,3.3333333333333233,10204081.632653061,850340.1360544218,883392.2261484099,10.9,11,9.5,9.6,245,0,0,0,40.43290724108203
mtgox_2014,mtgox_2014_bcr99.0,99,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,14.590983526002187,2015-01-14,411,,,,,,2017-03-02,1189,2017-03-02,99.76637822668118,1.0077411942089007,0.907499388917199,0.09250061108280105,33670033.67003378,33670033.67003378,3.3333333333333446,10101010.1010101,841750.8417508417,883392.2261484099,10.9,11,9.5,9.6,245,0,0,0,40.86771060836534
mtgox_2014,mtgox_2014_bcr100.0,100,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,14.742405787486286,2015-01-14,411,,,,,,2017-03-02,1189,2017-03-02,100.87683759063876,1.0087683759063875,0.9084243950280267,0.09157560497197326,33333333.333333515,33333333.333333515,3.3333333333333512,10000000,833333.3333333334,883392.2261484099,10.9,11,9.5,9.6,245,0,0,0,41.30251397564864
