regime,scenario_id,starting_bcr,date,day_index,days_from_peak,is_last_day_of_month,price_usd,price_normalized,drawdown_from_peak,running_min_price_normalized,running_max_drawdown,daily_return,realized_vol_30d,btc_price_regime_pctile,bitcoin_coverage_ratio,bcr_min_so_far,btc_reserve_index,btc_held_index,btc_reserve_usd,btc_held,btc_value_usd,annual_obligation_usd,monthly_obligation_usd,is_payment_day,monthly_obligation_over_annual,btc_sold_today_fraction,btc_sold_today_usd,cumulative_btc_sold_fraction,cumulative_btc_sold_usd,cumulative_payments_over_annual,cumulative_payments_usd,btc_held_mechanical,btc_held_index_mechanical,btc_value_usd_mechanical,btc_sold_today_fraction_mechanical,btc_sold_today_usd_mechanical,cumulative_btc_sold_fraction_mechanical,cumulative_btc_sold_usd_mechanical,is_trough_day,is_bcr_min_day,is_recovery_day,is_primary_failure_day,has_failed_primary,reached_recovery,is_terminal_liquidity_day,has_reached_terminal_liquidity,days_to_trough,days_to_bcr_min,days_to_recovery,days_to_primary_failure,days_to_terminal_liquidity
apr_2013,apr_2013_bcr3.5,3.5,2013-10-31,205,205,true,203.54,0.8888209606986899,0.11117903930131012,0.2896943231441048,0.7103056768558952,0.03037359522122096,1.1187602452994638,0.8434771916881839,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,762158879.9425868,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,3010674.9950594823,0.6894445738686215,612792788.494407,0.026787761385383475,23809523.80952381,0.31055542613137854,166666666.6666667,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2013-11-30,235,235,true,1119.8,4.8899563318777295,-3.8899563318777295,0.2896943231441048,0.7103056768558952,-0.01077738515901061,1.7321035178849056,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,4193109530.115499,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,2989412.694818793,0.6845755071135036,3347544335.658084,0.004869066755117836,23809523.80952381,0.31542449288649643,190476190.4761905,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2013-12-31,266,266,true,732,3.1965065502183405,-2.1965065502183405,0.2896943231441048,0.7103056768558952,-0.006109979633401208,2.2006943765149325,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,2740986047.5482635,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,2956886.0229478586,0.6771268992550596,2164440568.7978325,0.007448607858443924,23809523.80952381,0.32287310074494036,214285714.28571433,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2014-01-31,297,297,true,803,3.506550218340611,-2.506550218340611,0.2896943231441048,0.7103056768558952,0.0037625470318378706,0.8738755107522965,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,3006846716.094611,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,2927235.308365637,0.6703368856157309,2350569952.6176066,0.006790013639328708,23809523.80952381,0.3296631143842691,238095238.09523815,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2014-02-28,325,325,true,550.1,2.4021834061135374,-1.4021834061135374,0.2896943231441048,0.7103056768558952,-0.05643224699828464,0.9486002247845114,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,2059858503.765437,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,2883953.13456174,0.6604252678146384,1586462619.3224132,0.009911617801092442,23809523.80952381,0.3395747321853616,261904761.90476197,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2014-03-31,356,356,true,454.83,1.9861572052401746,-0.9861572052401746,0.2896943231441048,0.7103056768558952,-0.01123913043478264,1.0880601448843703,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,1703118420.7737386,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,2831604.952142982,0.6484375340407429,1287898880.3831923,0.011987733773895637,23809523.80952381,0.3515624659592571,285714285.7142858,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2014-04-30,386,386,true,448.85,1.9600436681222708,-0.9600436681222708,0.2896943231441048,0.7103056768558952,0.0018973214285715745,1.2252390303905327,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,1680726212.3525112,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,2778559.338219569,0.6362900884522813,1247156358.9598536,0.012147445588461517,23809523.80952381,0.3637099115477187,309523809.5238096,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2014-05-31,417,417,true,627.8,2.741484716157205,-1.741484716157205,0.2896943231441048,0.7103056768558952,0.010950080515297778,0.6052027671589465,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,2350807432.58306,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,2740634.0056144022,0.6276051872856981,1720570028.7247217,0.008684901166583232,23809523.80952381,0.37239481271430186,333333333.33333343,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2014-06-30,447,447,true,641.11,2.799606986899563,-1.7996069868995632,0.2896943231441048,0.7103056768558952,0.06871259730950685,0.63081697116483,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,2400646946.644354,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,2703496.0358283687,0.6191005922046965,1733238343.5299256,0.008504595081001627,23809523.809523813,0.3808994077953035,357142857.14285725,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2014-07-31,478,478,true,582.04,2.541659388646288,-1.5416593886462882,0.2896943231441048,0.7103056768558952,0.032278660612939714,0.301520180212025,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,2179458359.446709,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,2662589.012583362,0.6097328838815899,1549733308.8840199,0.009367708323106579,23809523.80952381,0.39026711611841014,380952380.9523811,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2014-08-31,509,509,true,479.04,2.091877729257642,-1.091877729257642,0.2896943231441048,0.7103056768558952,-0.04354597184785869,0.5273436884240272,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,1793773164.231585,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,2612886.432820662,0.5983509931159317,1251677116.77841,0.0113818907656583,23809523.80952381,0.40164900688406835,404761904.7619049,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2014-09-30,539,539,true,391.09,1.7078165938864627,-0.7078165938864627,0.2896943231441048,0.7103056768558952,0.0451362907536077,0.6104217483623109,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,1464442941.7153692,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,2552006.5233125594,0.5844094938385761,998064231.2023088,0.013941499277355475,23809523.80952381,0.4155905061614239,428571428.5714287,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2014-10-31,570,570,true,337.99,1.475938864628821,-0.47593886462882096,0.2896943231441048,0.7103056768558952,-0.023545386259894774,0.6449015992157618,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,1265609117.7743683,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,2481562.0610221843,0.5682777119740803,838743161.004888,0.01613178186449585,23809523.809523813,0.4317222880259197,452380952.38095254,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2014-11-30,600,600,true,377.01,1.6463318777292577,-0.6463318777292577,0.2896943231441048,0.7103056768558952,0.004048043889318009,0.727177002013542,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,1411720149.9811077,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,2418408.500613909,0.5538155466405852,911764188.8164499,0.014462165333495007,23809523.80952381,0.4461844533594148,476190476.19047636,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2014-12-31,631,631,true,321,1.4017467248908297,-0.40174672489082974,0.2896943231441048,0.7103056768558952,0.031922075417108786,0.48372422987025604,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,1201989783.1461647,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,2344235.529244676,0.5368299361970309,752499604.887541,0.01698561044355437,23809523.80952381,0.4631700638029691,500000000.0000002,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2015-01-31,662,662,true,216.9,0.9471615720524018,0.05283842794759819,0.2896943231441048,0.7103056768558952,-0.05267295597484278,1.639747788866314,0.9256117053977623,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,812185619.8268011,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,2234463.635240417,0.5116921724700555,484655162.48364645,0.025137763726975345,23809523.80952381,0.4883078275299445,523809523.809524,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2015-02-28,690,690,true,253.47,1.1068558951965066,-0.10685589519650662,0.2896943231441048,0.7103056768558952,0.0027296463327795006,0.7216937906878904,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,949122586.7104622,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,2140529.3479104615,0.4901812206714957,542559973.8148646,0.021510951798559802,23809523.80952381,0.5098187793285043,547619047.6190478,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2015-03-31,721,721,true,244.24,1.0665502183406115,-0.06655021834061148,0.2896943231441048,0.7103056768558952,-0.014962694091550599,0.6350004721024349,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,914560699.799437,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,2043045.2183267577,0.4678573549968275,498993364.1241273,0.022323865674668167,23809523.80952381,0.5321426450031725,571428571.4285716,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2015-04-30,751,751,true,236.2,1.0314410480349345,-0.03144104803493453,0.2896943231441048,0.7103056768558952,0.04754301933652649,0.4842138643757541,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,884454787.4739068,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,1942242.8313262335,0.4447736083737075,458757756.7592563,0.023083746623120037,23809523.80952381,0.5552263916262925,595238095.2380954,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2015-05-31,782,782,true,228.91,0.9996069868995633,0.0003930131004367121,0.2896943231441048,0.7103056768558952,-0.01378656671405809,0.27221720269882965,0.99944669863519,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,857157262.4921762,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,1838230.2333203629,0.4209547234303631,420789282.70936424,0.02381888494334434,23809523.80952381,0.5790452765696369,619047619.0476192,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2015-06-30,812,812,true,262.5,1.1462882096069869,-0.14628820960698685,0.2896943231441048,0.7103056768558952,0.02523043274488357,0.3226532399588949,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,982935570.3298075,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,1747527.285474558,0.40018374837367376,458725912.43707144,0.02077097505668934,23809523.80952381,0.5998162516263262,642857142.857143,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2015-07-31,843,843,true,284.33,1.2416157205240175,-0.24161572052401747,0.2896943231441048,0.7103056768558952,-0.012777334120343098,0.4771900441320109,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,1064678364.6166635,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,1663788.2364486943,0.381007506146751,473064909.2694572,0.019176242226922775,23809523.80952381,0.618992493853249,666666666.6666669,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2015-08-31,874,874,true,229.86,1.003755458515284,-0.003755458515283916,0.2896943231441048,0.7103056768558952,0.003755458515283916,0.6799425686919625,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,860714553.1276555,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,1560205.5173608852,0.3572870634756427,358628840.22057307,0.023720442671108292,23809523.80952381,0.6427129365243573,690476190.4761907,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2015-09-30,904,904,true,236.2,1.0314410480349345,-0.03144104803493453,0.2896943231441048,0.7103056768558952,-0.0031231535409809164,0.2670356649913912,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,884454787.4739068,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,1459403.130360361,0.3342033168525227,344711019.3911172,0.023083746623120037,23809523.80952381,0.6657966831474773,714285714.2857145,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2015-10-31,935,935,true,310.18,1.3544978165938866,-0.35449781659388657,0.2896943231441048,0.7103056768558952,-0.056199604442415896,0.3929870495413629,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,1161474115.0662847,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,1382642.7853686665,0.31662519784942467,428868139.165653,0.017578119003098046,23809523.80952381,0.6833748021505753,738095238.0952383,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2015-11-30,965,965,true,376.71,1.6450218340611353,-0.6450218340611353,0.2896943231441048,0.7103056768558952,0.014078819855712243,0.9386084714736402,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,1410596795.0435877,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,1319438.93145047,0.3021515153021576,497045839.8667065,0.014473682547267002,23809523.80952381,0.6978484846978423,761904761.9047621,false,false,false,false,true,false,false,false,88,87,,87,
apr_2013,apr_2013_bcr3.5,3.5,2015-12-31,996,996,true,430.89,1.8816157205240174,-0.8816157205240174,0.2896943231441048,0.7103056768558952,0.01185891414615825,0.6215686159775923,1,0.8771717029623203,0.8771717029623203,0.25062048656066294,0.8574942689734322,250620486.56066296,3744516.458399267,1613474696.75966,285714285.71428573,23809523.80952381,true,0.08333333333333333,0,0,0.14250573102656783,71428571.42857149,0.2500000000000002,71428571.42857149,1264182.3141942704,0.28949774995048794,544723517.3631692,0.01265376535166969,23809523.80952381,0.7105022500495121,785714285.714286,false,false,false,false,true,false,false,false,88,87,,87,
