time,open,high,low,close
4/15/2013,91.79,99.8,60,74
4/16/2013,73.99,82,49.8,68.09
4/17/2013,67.85,101.12,60,89.98
4/18/2013,89.98,111.23,78.92,109.3
4/19/2013,109.3,140.2,100,117.71
4/20/2013,118.11,129.79,114.27,126.55
4/21/2013,126.55,129,101,118.81
4/22/2013,118.91,125.01,116,123.74
4/23/2013,123.73,138.87,121.12,137.29
4/24/2013,137.3,161,134.98,149
4/25/2013,150,170.28,123.2,141.9
4/26/2013,141.9,142.53,126.68,137.3
4/27/2013,137.3,148.61,125.76,128.8
4/28/2013,128.8,148.18,121.57,135.28
4/29/2013,135.31,151.65,123.96,143.31
4/30/2013,143.32,144.99,133.89,139.88
5/1/2013,139.87,140.3,104.9,116.75
5/2/2013,116.75,127.24,93.01,106.81
5/3/2013,107.02,108,81.5,98.08
5/4/2013,98.08,115.64,94,112.62
5/5/2013,112.89,118.76,106.5,116.57
5/6/2013,116.9,123.97,105,112.71
5/7/2013,112.67,112.95,98.77,110
5/8/2013,110.92,116.29,109.41,113.16
5/9/2013,113.16,113.95,109,111.96
5/10/2013,111.96,119.98,109.2,117.9
5/11/2013,117.9,118.5,112.95,115.04
5/12/2013,115.58,117.86,113,114.5
5/13/2013,115.05,117.48,113.55,115.99
5/14/2013,115.98,117.9,103.5,107
5/15/2013,107,113,101.72,108.95
5/16/2013,108.96,113.35,108.35,113.35
5/17/2013,113.36,118.16,112.82,116.73
5/18/2013,117.51,118.55,115.99,118.49
5/19/2013,118.49,118.98,114.1,116.38
5/20/2013,117.27,118.94,114.03,116.55
5/21/2013,117.81,118.56,116.9,117.5
5/22/2013,117.25,119.48,117,119.11
5/23/2013,118.45,123.9,118.36,123.84
5/24/2013,123.84,129.94,122.52,128.7
5/25/2013,128.65,129.73,126.03,128.97
5/26/2013,128.98,130.29,127.97,129.5
5/27/2013,130.27,130.6,120.33,126.25
5/28/2013,126.2,127.11,123,125.92
5/29/2013,125.99,130.4,125.53,130.35
5/30/2013,130.01,131,124.9,126.81
5/31/2013,126.78,129.87,125.06,127.91
6/1/2013,127.76,128.86,127.09,128.77
6/2/2013,128.77,128.8,117.02,123
6/3/2013,123.35,125.01,117,123.22
6/4/2013,123.22,123.66,116.32,120.57
6/5/2013,120.58,122.74,119.65,121.2
6/6/2013,120.98,121.33,118.43,118.78
6/7/2013,118.78,119.16,107,110.18
6/8/2013,110.17,112.46,108.44,109.11
6/9/2013,109.11,110,90,100.17
6/10/2013,100.17,107.9,93.1,104.22
6/11/2013,104.21,108,102.97,107.36
6/12/2013,107.35,111.18,105.01,106.56
6/13/2013,106.1,108.43,95,102
6/14/2013,101.86,102.95,95,99.01
6/15/2013,99.01,105,96.22,99.42
6/16/2013,99.43,101.11,98,99.37
6/17/2013,98.74,101.47,98.29,100
6/18/2013,100.39,108.18,99.99,104.5
