regime,scenario_id,starting_bcr,terminal_state,peak_date,peak_price_usd,trough_date,trough_price_usd,max_drawdown_from_peak,days_to_trough,min_bcr,min_bcr_date,days_to_bcr_min,primary_failure_date,days_to_primary_failure,terminal_liquidity_date,days_to_terminal_liquidity,primary_to_terminal_gap_days,recovery_date,days_to_recovery,terminal_date,terminal_bcr,terminal_btc_reserve_index,terminal_btc_held_index,cumulative_btc_sold_fraction,cumulative_btc_sold_usd,cumulative_payments_usd,cumulative_payments_over_annual,annual_obligation_usd,monthly_obligation_usd,btc_at_peak,required_starting_bcr_lo,required_starting_bcr_hi,required_starting_bcr_terminal_lo,required_starting_bcr_terminal_hi,scenarios_total,days_below_bcr_1,days_below_bcr_2,days_below_bcr_5,time_weighted_avg_bcr
mtgox_2014,mtgox_2014_bcr77.0,77,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,11.2634515933364,2015-01-14,411,,,,,,2017-03-03,1190,2017-03-03,77.11504906657159,1.0014941437217089,0.8820235820318318,0.11797641796816816,42376801.28091059,42376801.28091059,3.2630136986301155,12987012.987012986,1082251.0822510822,883392.2261484099,10.8,10.9,9.4,9.5,245,0,0,0,31.361203908497178
mtgox_2014,mtgox_2014_bcr78.0,78,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,11.414873854820485,2015-01-14,411,,,,,,2017-03-03,1190,2017-03-03,78.25049959660696,1.0032115332898328,0.8835361002109116,0.11646389978908844,41833508.956796326,41833508.956796326,3.2630136986301137,12820512.82051282,1068376.0683760683,883392.2261484099,10.8,10.9,9.4,9.5,245,0,0,0,31.796595560551935
mtgox_2014,mtgox_2014_bcr79.0,79,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,11.56629611630458,2015-01-14,411,,,,,,2017-03-03,1190,2017-03-03,79.3859501266421,1.0048854446410393,0.8850103267905179,0.11498967320948206,41303970.86873597,41303970.86873597,3.2630136986301417,12658227.848101266,1054852.3206751056,883392.2261484099,10.8,10.9,9.4,9.5,245,0,0,0,32.2319872126066
mtgox_2014,mtgox_2014_bcr80.0,80,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,11.717718377788673,2015-01-14,411,,,,,,2017-03-03,1190,2017-03-03,80.52140065667756,1.0065175082084694,0.8864476977056379,0.11355230229436208,40787671.23287672,40787671.23287672,3.2630136986301372,12500000,1041666.6666666666,883392.2261484099,10.8,10.9,9.4,9.5,245,0,0,0,32.66737886466134
mtgox_2014,mtgox_2014_bcr81.0,81,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,11.869140639272768,2015-01-14,411,,,,,,2017-03-03,1190,2017-03-03,81.65685118671296,1.0081092739100364,0.8878495779808776,0.1121504220191224,40284119.73617454,40284119.73617454,3.2630136986301377,12345679.01234568,1028806.5843621399,883392.2261484099,10.8,10.9,9.4,9.5,245,0,0,0,33.10277051671607
mtgox_2014,mtgox_2014_bcr82.0,82,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,12.02056290075686,2015-01-14,411,,,,,,2017-03-03,1190,2017-03-03,82.79230171674813,1.009662216057904,0.8892172660542798,0.11078273394572025,39792849.98329454,39792849.98329454,3.2630136986301523,12195121.951219512,1016260.162601626,883392.2261484099,10.8,10.9,9.4,9.5,245,0,0,0,33.53816216877073
mtgox_2014,mtgox_2014_bcr83.0,83,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,12.171985162240983,2015-01-14,411,,,,,,2017-03-03,1190,2017-03-03,83.9277522467837,1.0111777379130567,0.8905519977885681,0.10944800221143192,39313418.05578402,39313418.05578402,3.2630136986300737,12048192.771084337,1004016.064257028,883392.2261484099,10.8,10.9,9.4,9.5,245,0,0,0,33.973553820825536
mtgox_2014,mtgox_2014_bcr84.0,84,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,12.323407423725053,2015-01-14,411,,,,,,2017-03-03,1190,2017-03-03,85.06320277681876,1.0126571759145089,0.8918549501958439,0.10814504980415607,38845401.17416856,38845401.17416856,3.2630136986301586,11904761.904761905,992063.4920634921,883392.2261484099,10.8,10.9,9.4,9.5,245,0,0,0,34.40894547288018
mtgox_2014,mtgox_2014_bcr85.0,85,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,12.474829685209166,2015-01-14,411,,,,,,2017-03-03,1190,2017-03-03,86.19865330685425,1.01410180361005,0.8931272448994241,0.10687275510057592,38388396.45447198,38388396.45447198,3.2630136986301186,11764705.88235294,980392.1568627451,883392.2261484099,10.8,10.9,9.4,9.5,245,0,0,0,34.844337124934974
mtgox_2014,mtgox_2014_bcr86.0,86,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,12.62625194669327,2015-01-14,411,,,,,,2017-03-03,1190,2017-03-03,87.33410383688953,1.015512835312669,0.8943699513540813,0.10563004864591874,37942019.75151352,37942019.75151352,3.2630136986301626,11627906.976744186,968992.2480620155,883392.2261484099,10.8,10.9,9.4,9.5,245,0,0,0,35.279728776989714
mtgox_2014,mtgox_2014_bcr87.0,87,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,12.777674208177359,2015-01-14,411,,,,,,2017-03-03,1190,2017-03-03,88.46955436692487,1.0168914295048834,0.8955840898442643,0.1044159101557357,37505904.58195543,37505904.58195543,3.2630136986301226,11494252.873563219,957854.4061302682,883392.2261484099,10.8,10.9,9.4,9.5,245,0,0,0,35.71512042904441
mtgox_2014,mtgox_2014_bcr88.0,88,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,12.929096469661468,2015-01-14,411,,,,,,2017-03-03,1190,2017-03-03,89.60500489696008,1.01823869201091,0.896770634277851,0.10322936572214902,37079701.12079773,37079701.12079773,3.2630136986302003,11363636.363636363,946969.6969696969,883392.2261484099,10.8,10.9,9.4,9.5,245,0,0,0,36.15051208109907
mtgox_2014,mtgox_2014_bcr89.0,89,recovered,2013-11-29,1132,2015-01-14,171.41,0.848577738515901,411,13.080518731145563,2015-01-14,411,,,,,,2017-03-03,1190,2017-03-03,90.7404554269956,1.0195556789550067,0.8979305147915847,0.1020694852084153,36663075.26550707,36663075.26550707,3.2630136986301297,11235955.056179775,936329.5880149812,883392.2261484099,10.8,10.9,9.4,9.5,245,0,0,0,36.5859037331538
